C1,C2,C3,C4,C5,C6,C7,C8,N1,N2,N3,N4,N7,N8,N9,N10,N10.1,N11,N12,N14,N15,N16,N17,N18,N19,N21,N22,N23,N24,N33,N35,Dependent_Variable
3,1,1,0,1,False,1,True,17.95,62.0,3.1,4.0,31.0,4,68,0.0,2.0,9.0,0.0,29.0,1.0,0.0,2400.0,0.94,151.0,0.74,1.0,28.0,11666.66667,160.0,18.0,0
1,1,9,27,1,True,2,True,31.77,79.0,3.1,14.0,38.0,6,254,3.0,1.0,8.0,2369.0,7.0,1.0,0.0,7807.0,0.97,172.0,0.77,1.0,42.0,5206.666667,60.0,22.0,0
1,1,22,16,2,True,2,True,10.4,51.0,3.7,6.0,24.0,3,372,0.0,0.0,4.0,0.0,1.0,0.0,0.0,17009.0,0.62,10344.0,0.9,1.0,26.0,4166.666667,110.0,26.0,0
1,0,0,0,0,False,0,True,25.0,,2.5,,25.0,2,49,14.0,6.0,9.0,,21.0,0.0,,,,,,,66.0,2916.666667,64.0,23.0,0
1,7,27,1,2,True,2,True,5.9,4.0,3.9,11.0,20.0,9,140,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11403.0,0.29,26437.0,1.0,1.0,12.0,5000.0,50.0,18.0,0
1,0,7,17,2,True,2,True,13.06,112.0,3.6,17.0,36.0,12,748,0.0,1.0,4.0,0.0,0.0,0.0,0.0,35356.0,0.65,18544.0,0.9,0.0,44.0,4250.0,100.0,30.0,0
1,0,0,31,0,False,0,True,16.2,,3.0,,14.0,3,25,4.0,6.0,14.0,,20.0,0.0,,,,,,,2.0,4583.333333,22.0,20.0,0
1,2,2,2,2,True,1,True,10.4,49.0,4.2,9.0,14.0,6,33,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1509.0,0.11,11491.0,0.92,0.0,18.0,8705.583333,480.0,17.0,1
1,0,4,31,0,False,0,True,9.0,,3.8,,6.0,0,0,0.0,0.0,,,0.0,0.0,,,,,,,9.228,3958.333333,96.0,14.0,0
1,5,1,1,3,False,5,True,6.5,4.0,3.7,4.0,12.0,2,133,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2814.0,0.13,17886.0,0.85,0.0,,0.0,20.0,13.0,0
1,3,44,30,1,True,2,True,24.99,62.0,3.6,11.0,24.0,7,228,0.0,2.0,10.0,0.0,0.0,0.0,0.0,3279.0,0.59,2004.0,0.95,1.0,34.0,4666.666667,90.0,19.0,1
1,0,9,31,0,False,0,True,17.0,,2.4,,15.0,2,50,10.0,1.0,4.0,,1.0,6.0,,,,,,,18.0,1000.0,20.0,12.0,1
1,3,17,1,4,False,7,False,21.99,11.0,3.7,8.0,17.0,9,224,0.0,1.0,2.0,0.0,3.0,0.0,0.0,13904.0,0.34,26696.0,0.94,1.0,,1666.666667,170.0,21.0,0
1,2,40,15,1,True,1,True,29.5,221.0,3.7,14.0,30.0,9,1862,0.0,2.0,4.0,0.0,0.0,0.0,0.0,147759.0,0.85,14522.0,1.0,1.0,48.0,22666.66667,150.0,26.0,0
3,7,6,41,1,False,1,True,4.99,42.0,4.0,11.0,15.0,10,89,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1068.0,0.0,137282.0,1.0,0.0,6.0,11563.58333,70.0,17.0,0
1,0,24,10,0,True,0,True,16.0,,3.1,,14.0,2,59,0.0,0.0,12.0,,6.0,0.0,,,,,,,28.0,4565.0,124.0,15.0,0
1,3,2,1,4,True,1,False,13.85,116.0,3.7,25.0,49.0,22,1440,0.0,3.0,43.0,0.0,0.0,0.0,0.0,3000.0,0.06,44810.0,1.0,0.0,,21460.58333,120.5,28.0,1
1,0,14,41,2,False,6,True,7.5,24.0,3.8,16.0,29.0,8,243,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7641.0,0.06,46205.0,1.0,1.0,38.0,7083.333333,40.0,17.0,0
1,1,35,0,1,False,6,True,15.99,161.0,3.8,12.0,27.0,9,226,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10068.0,0.35,18507.0,0.96,0.0,64.0,7533.333333,300.0,27.0,0
1,7,12,1,2,True,2,True,25.0,38.0,2.9,2.0,7.0,1,12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,501.0,1.0,0.0,0.71,0.0,4.0,6083.333333,60.0,20.0,0
2,6,5,4,1,False,2,True,33.04,281.0,3.4,20.0,31.0,21,714,0.0,0.0,0.0,0.0,4.0,0.0,0.0,30753.0,0.9,2820.0,0.9,0.0,56.0,4416.666667,80.0,25.0,0
1,0,20,1,2,True,4,True,8.0,1.0,3.9,7.0,15.0,3,173,0.0,0.0,2.0,0.0,0.0,1.0,1.0,6912.0,0.28,17388.0,1.0,0.0,38.0,2083.333333,60.0,26.0,0
1,0,34,4,0,True,0,True,17.95,,3.1,,9.0,1,25,0.0,5.0,12.0,,24.0,1.0,,,,,,,48.0,3120.0,130.0,11.0,0
1,0,1,1,7,False,7,True,14.28,123.0,3.5,12.0,18.0,11,332,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11610.0,0.2,44904.0,0.94,0.0,62.0,1767.0,130.0,46.0,0
1,0,19,31,0,True,0,True,27.6,,2.7,,26.0,2,37,5.0,2.0,12.0,,12.0,0.0,,,,,,,94.0,1700.0,40.0,18.0,1
3,13,16,1,1,False,4,True,9.81,41.0,3.9,5.0,26.0,6,111,2.0,0.0,0.0,3084.0,22.0,1.0,0.0,3024.0,0.07,35176.0,0.79,0.0,16.0,3916.666667,50.0,32.0,0
3,9,23,1,5,False,4,True,14.68,98.0,3.3,2.0,20.0,2,50,0.0,0.0,0.0,0.0,9.0,1.0,0.0,870.0,0.87,130.0,0.83,1.0,22.0,2606.666667,50.0,19.0,0
1,0,2,0,2,True,6,True,27.0,288.0,2.6,11.0,41.0,3,99,8.0,5.0,35.0,526.0,29.0,1.0,0.0,1533.0,1.02,1.0,0.67,5.0,52.0,6666.666667,80.0,24.0,1
1,7,20,55,1,True,4,True,25.99,8.0,3.3,13.0,24.0,3,119,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2479.0,0.38,4000.0,0.86,1.0,42.0,2083.333333,100.0,8.0,0
1,1,2,0,2,True,1,True,16.95,1.0,3.3,10.0,22.0,4,66,1.0,1.0,36.0,1491.0,12.0,0.0,0.0,1014.0,0.61,646.0,0.7,1.0,18.0,12083.33333,80.0,23.0,1
2,3,27,1,1,True,6,True,10.49,79.0,4.1,15.0,31.0,11,157,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1247.0,0.01,111503.0,1.0,0.0,20.0,7500.0,400.0,15.0,0
1,13,2,10,1,False,4,False,31.77,0.0,3.5,1.0,12.0,1,0,0.0,3.0,4.0,0.0,25.0,1.0,0.0,0.0,0.0,11500.0,0.4,0.0,,3750.0,40.0,25.0,1
1,0,0,1,0,False,0,True,29.0,,2.8,,32.0,2,162,3.0,4.0,12.0,,11.0,1.0,,,,,,,106.0,1916.666667,90.0,19.0,0
1,1,7,6,2,True,1,False,7.9,39.0,3.8,16.0,33.0,11,2046,0.0,1.0,6.0,0.0,0.0,0.0,0.0,333599.0,0.98,5388.0,0.96,0.0,,12500.0,20.0,27.0,0
1,1,7,1,2,False,4,True,19.8,19.0,3.1,14.0,17.0,12,282,0.0,1.0,4.0,0.0,6.0,0.0,0.0,9311.0,0.78,2168.0,0.87,0.0,64.0,2583.333333,160.0,17.0,1
3,7,5,15,1,False,2,True,26.69,71.0,3.5,11.0,26.0,7,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20708.0,0.81,4120.0,0.96,0.0,106.0,5223.666667,150.0,33.0,0
1,6,3,38,1,True,4,True,8.99,1.0,3.6,4.0,14.0,1,76,1.0,0.0,3.0,60.0,0.0,0.0,0.0,2418.0,0.53,2082.0,0.92,0.0,34.0,3416.666667,120.0,19.0,0
1,4,5,16,2,False,7,True,35.0,56.0,2.7,2.0,4.0,0,0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18.0,1593.833333,60.04,15.0,1
1,1,2,15,1,True,1,True,10.99,25.0,3.6,21.0,47.0,19,1580,1.0,0.0,0.0,610.0,0.0,0.0,0.0,180950.0,0.93,12466.0,0.93,0.0,50.0,12950.0,190.0,27.0,0
1,0,30,41,2,True,2,True,9.89,96.0,3.8,11.0,23.0,13,285,0.0,1.0,3.0,0.0,0.0,0.0,0.0,37400.0,0.62,22378.0,1.0,2.0,28.0,4459.0,200.0,23.0,0
1,3,14,15,2,True,6,True,12.4,128.0,3.4,22.0,35.0,22,2545,0.0,1.0,23.0,0.0,0.0,0.0,0.0,100637.0,0.84,15037.0,1.0,1.0,76.0,7500.0,200.0,17.0,0
1,7,20,1,2,True,7,True,27.4,327.0,3.4,8.0,17.0,5,108,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1587.0,0.7,639.0,0.73,1.0,126.0,1666.666667,30.0,17.0,0
1,3,1,16,2,False,4,True,19.45,79.0,3.6,5.0,8.0,3,142,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2196.0,0.21,7804.0,1.0,1.0,68.0,3708.333333,400.0,19.0,0
1,1,24,19,2,False,4,True,14.5,10.0,3.5,2.0,13.0,2,10,1.0,0.0,0.0,40.0,6.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,10.0,2567.0,70.0,30.0,0
1,1,7,15,2,False,6,True,22.7,26.0,3.5,14.0,55.0,5,96,0.0,1.0,9.0,0.0,7.0,0.0,0.0,886.0,0.25,2614.0,0.85,0.0,52.0,7067.666667,100.0,24.0,0
3,1,11,1,1,False,6,True,9.58,14.0,3.5,7.0,7.0,7,157,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3418.0,0.3,7555.0,1.0,2.0,14.0,7083.333333,80.0,13.0,0
1,7,3,1,1,False,2,True,24.92,2.0,3.6,11.0,31.0,6,211,0.0,4.0,8.0,0.0,4.0,0.0,0.0,5597.0,0.5,5503.0,0.74,0.0,78.0,4333.333333,200.0,25.0,1
1,0,17,0,2,True,4,True,15.3,104.0,3.1,10.0,45.0,6,202,1.0,1.0,5.0,297.0,36.0,0.0,0.0,7700.0,0.84,1370.0,0.61,2.0,32.0,3750.0,75.0,18.0,0
1,5,3,52,2,False,7,True,6.45,33.0,3.7,3.0,6.0,2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.07,6390.0,1.0,0.0,16.0,1625.0,20.0,9.0,0
1,7,2,0,1,True,1,True,8.0,26.0,4.2,3.0,17.0,1,37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2255.0,0.17,10321.0,1.0,0.0,6.0,12519.91667,240.0,21.0,0
2,1,19,17,1,True,4,True,15.19,38.0,3.6,12.0,38.0,10,418,1.0,0.0,5.0,0.0,12.0,0.0,0.0,7047.0,0.27,1526.0,0.75,1.0,90.0,2666.666667,300.0,22.0,0
1,0,12,50,2,True,6,True,11.0,85.0,3.7,18.0,27.0,9,371,0.0,6.0,34.0,0.0,0.0,0.0,0.0,20012.0,0.44,24713.0,0.92,3.0,24.0,7000.0,220.0,18.0,0
1,0,2,16,2,True,6,True,13.0,121.0,3.5,12.0,41.0,8,2750,0.0,2.0,14.0,0.0,0.0,0.0,0.0,246873.0,0.93,7129.0,0.87,2.0,38.0,6250.0,300.0,21.0,0
1,0,15,19,2,True,2,True,13.5,3.0,3.3,9.0,17.0,2,121,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3326.0,0.85,584.0,0.83,0.0,46.0,5193.25,150.0,27.0,1
1,4,7,1,4,True,4,True,24.0,3.0,3.1,8.0,20.0,5,219,2.0,2.0,3.0,920.0,0.0,1.0,0.0,8440.0,0.92,396.0,0.88,1.0,50.0,3166.666667,52.0,20.0,1
1,3,2,1,4,True,2,True,15.75,36.0,3.2,18.0,31.0,13,1008,0.0,1.0,7.0,0.0,0.0,0.0,0.0,32681.0,0.78,7239.0,1.0,0.0,102.0,4500.0,200.0,15.0,1
2,7,20,17,1,True,4,True,19.4,183.0,3.5,10.0,24.0,5,473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19428.0,0.94,929.0,1.0,1.0,88.0,3065.25,140.0,24.0,0
1,0,5,0,2,False,4,True,29.0,211.0,2.8,8.0,30.0,8,104,9.0,5.0,21.0,2525.0,35.0,1.0,0.0,2170.0,0.69,799.0,0.48,0.0,34.0,3900.0,95.9,28.0,1
1,1,20,1,1,False,4,True,20.49,59.0,3.3,8.0,19.0,5,96,0.0,1.0,3.0,0.0,2.0,1.0,0.0,1312.0,0.35,2000.0,0.83,2.0,40.0,2583.333333,40.0,17.0,0
1,7,2,0,1,True,6,True,17.99,43.0,3.8,11.0,20.0,6,401,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8216.0,0.51,6782.0,0.88,0.0,40.0,6437.5,100.0,26.0,0
1,2,14,35,1,False,2,True,31.25,168.0,3.1,17.0,49.0,11,696,0.0,5.0,8.0,0.0,0.0,0.0,0.0,23729.0,0.98,342.0,1.0,3.0,74.0,4500.0,40.0,17.0,0
1,4,8,0,2,False,4,True,15.15,0.0,3.3,0.0,32.0,1,0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.55,0.0,12.0,3500.0,120.0,24.0,0
1,0,27,1,2,False,4,True,8.25,23.0,3.8,7.0,16.0,3,99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6436.0,0.32,13152.0,1.0,0.0,24.0,2083.333333,100.0,16.0,0
1,0,2,10,0,False,0,True,19.5,,2.7,,10.0,6,169,1.0,1.0,13.0,,0.0,0.0,,,,,,,32.0,3166.666667,60.0,11.0,1
1,2,5,17,1,True,7,True,25.52,1.0,3.5,7.0,13.0,4,75,0.0,1.0,7.0,0.0,8.0,0.0,0.0,775.0,0.15,4225.0,0.9,0.0,64.0,1666.666667,80.0,11.0,0
1,0,0,12,0,False,0,True,18.0,,2.6,,34.0,0,0,12.0,4.0,13.0,,6.0,0.0,,,,,,,26.0,3333.333333,20.0,14.0,0
1,7,19,12,1,True,2,True,18.74,218.0,3.5,15.0,34.0,13,1559,0.0,1.0,2.0,0.0,0.0,0.0,0.0,55964.0,0.77,15971.0,1.0,1.0,100.0,5416.666667,185.42,39.0,1
1,0,2,2,2,True,4,True,15.94,23.0,3.4,12.0,24.0,7,1018,0.0,2.0,14.0,0.0,0.0,0.0,0.0,81065.0,0.61,3622.0,1.0,1.0,122.0,2640.0,300.0,17.0,1
1,0,0,7,2,True,2,True,24.0,31.0,2.8,4.0,37.0,2,15,1.0,1.0,19.0,3965.0,6.0,1.0,0.0,294.0,0.98,6.0,0.75,0.0,14.0,5000.0,20.0,26.0,0
1,7,1,0,1,False,4,True,25.99,8.0,3.6,20.0,20.0,18,391,0.0,3.0,6.0,0.0,0.0,0.0,0.0,10558.0,0.13,32548.0,1.0,3.0,62.0,3166.666667,120.0,17.0,0
1,3,13,49,4,True,1,True,10.8,21.0,3.6,35.0,78.0,27,958,0.0,1.0,12.0,0.0,0.0,0.0,0.0,85838.0,0.42,118072.0,0.96,2.0,38.0,9946.0,100.0,28.0,0
1,0,3,35,2,True,2,True,10.0,144.0,3.9,6.0,18.0,3,387,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16185.0,0.46,18815.0,0.94,0.0,56.0,5083.333333,318.0,20.0,0
1,0,10,1,0,False,0,True,11.14,,3.4,,45.0,2,84,4.0,0.0,10.0,,13.0,0.0,,,,,,,36.0,2916.666667,40.0,19.0,0
1,7,30,0,1,False,4,False,25.0,15.0,3.4,15.0,19.0,7,238,0.0,2.0,5.0,0.0,1.0,0.0,0.0,4886.0,0.1,14788.0,0.88,0.0,,3083.333333,42.0,26.0,0
1,2,7,41,1,True,6,True,16.09,145.0,3.2,9.0,17.0,5,234,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6090.0,0.88,734.0,0.94,0.0,34.0,7833.333333,220.0,13.0,0
1,0,0,1,0,False,0,True,19.89,,3.1,,38.0,10,771,1.0,4.0,12.0,,0.0,0.0,,,,,,,70.0,4625.0,150.0,26.0,0
1,0,0,31,0,False,0,True,26.75,,2.4,,7.0,0,0,6.0,2.0,,,4.0,0.0,,,,,,,10.0,3166.666667,80.0,14.0,1
1,1,7,28,2,False,4,True,10.25,37.0,3.7,4.0,5.0,3,40,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1334.0,0.1,10966.0,1.0,0.0,28.0,2500.0,60.0,8.0,0
1,1,3,1,1,False,4,True,31.25,123.0,3.1,7.0,27.0,6,192,0.0,1.0,18.0,0.0,1.0,0.0,0.0,6344.0,0.93,533.0,0.92,0.0,54.0,2833.333333,80.0,14.0,0
1,0,0,10,0,True,0,True,16.0,,3.2,,33.0,3,197,4.0,9.0,19.0,,13.0,0.0,,,,,,,32.0,4333.333333,100.0,25.0,0
1,0,7,7,6,False,7,True,14.25,29.0,3.4,4.0,5.0,4,57,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1606.0,0.25,4694.0,1.0,2.0,26.0,800.0,26.0,8.0,0
1,2,19,6,2,True,4,True,7.95,1.0,4.1,8.0,43.0,5,45,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1590.0,0.01,149210.0,0.97,1.0,8.0,3333.333333,60.0,17.0,0
1,1,12,0,2,False,2,True,20.74,15.0,2.9,6.0,23.0,1,0,5.0,4.0,6.0,5866.0,37.0,1.0,0.0,0.0,0.0,3000.0,0.53,1.0,46.0,5208.333333,130.0,16.0,0
1,7,15,41,1,True,6,True,6.55,37.0,4.1,9.0,16.0,5,65,0.0,0.0,3.0,0.0,0.0,0.0,0.0,850.0,0.09,8150.0,0.93,0.0,24.0,7166.666667,40.0,10.0,0
1,7,39,2,2,True,2,True,7.15,178.0,3.9,12.0,20.0,4,65,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1240.0,0.03,36460.0,1.0,0.0,44.0,4583.333333,100.0,22.0,0
1,1,34,7,1,True,4,True,31.27,2.0,3.5,11.0,34.0,7,529,0.0,1.0,4.0,0.0,0.0,1.0,0.0,20901.0,0.8,4942.0,1.0,2.0,104.0,2916.666667,80.0,16.0,1
1,0,2,0,2,True,1,True,8.25,97.0,4.2,14.0,21.0,8,30,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6998.0,0.07,85302.0,1.0,1.0,14.0,9583.333333,90.0,17.0,0
1,0,9,35,2,True,2,True,12.95,207.0,3.7,15.0,24.0,7,216,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17603.0,0.5,16622.0,1.0,0.0,60.0,5800.0,330.0,22.0,0
1,1,20,0,2,True,6,True,10.29,107.0,3.3,9.0,22.0,5,120,1.0,0.0,3.0,0.0,1.0,0.0,0.0,3174.0,0.61,1986.0,0.71,0.0,38.0,7833.333333,210.6,27.0,1
1,3,10,0,1,False,4,True,20.49,14.0,3.7,5.0,6.0,4,118,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1836.0,0.2,7066.0,1.0,1.0,30.0,2083.333333,80.0,9.0,1
1,0,12,1,2,True,1,True,19.5,77.0,3.3,9.0,40.0,5,52,1.0,15.0,44.0,490.0,3.0,3.0,0.0,2686.0,0.56,2089.0,0.77,2.0,22.0,9416.666667,130.0,20.0,1
1,13,22,16,1,True,4,True,31.77,46.0,3.3,9.0,30.0,3,114,0.0,3.0,3.0,0.0,15.0,0.0,0.0,1119.0,0.76,120.0,0.8,7.0,28.0,4133.333333,80.0,18.0,0
1,0,0,31,0,False,0,True,17.75,,2.7,,48.0,2,29,14.0,1.0,5.0,,38.0,2.0,,,,,,,24.0,2666.666667,20.0,24.0,0
1,0,8,41,2,False,2,True,18.0,3.0,3.0,6.0,24.0,5,114,1.0,2.0,6.0,1126.0,11.0,1.0,0.0,3942.0,0.67,1928.0,0.68,2.0,38.0,4583.333333,110.0,18.0,1
2,1,15,16,2,False,4,True,26.1,129.0,3.0,6.0,16.0,4,84,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1953.0,0.95,70.0,0.85,1.0,28.0,3291.666667,80.0,14.0,1
1,1,26,4,2,True,4,True,30.0,21.0,2.7,4.0,30.0,3,43,2.0,4.0,6.0,1727.0,36.0,1.0,0.0,1123.0,1.12,0.0,0.73,0.0,12.0,3750.0,24.0,29.0,1
1,1,7,0,2,True,2,True,8.99,77.0,3.7,8.0,16.0,6,205,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12633.0,0.34,23867.0,1.0,0.0,20.0,4598.833333,150.0,10.0,0
1,1,5,12,2,True,4,True,26.93,74.0,3.3,6.0,21.0,4,52,0.0,0.0,7.0,0.0,0.0,1.0,0.0,6605.0,0.99,48.0,0.84,0.0,22.0,3405.0,150.0,17.0,1
1,4,15,1,2,False,2,True,13.95,57.0,3.5,9.0,16.0,9,272,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13815.0,0.5,13585.0,1.0,0.0,32.0,4833.333333,300.0,24.0,0
1,2,1,0,1,True,4,True,14.14,62.0,4.1,8.0,23.0,7,124,0.0,2.0,4.0,0.0,3.0,0.0,0.0,1262.0,0.09,11539.0,0.94,1.0,22.0,3083.333333,120.0,8.0,0
1,1,36,8,2,False,7,True,14.0,106.0,3.5,7.0,7.0,6,310,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11424.0,0.44,14176.0,1.0,1.0,122.0,1958.333333,300.0,12.0,0
1,1,23,13,1,True,2,True,31.34,279.0,3.2,5.0,23.0,2,120,0.0,1.0,8.0,0.0,32.0,2.0,0.0,3903.0,0.97,97.0,0.61,0.0,40.0,4333.333333,80.0,18.0,0
1,0,0,31,0,False,0,True,23.75,,,,,0,0,,,,,,,,,,,,,1.444,5416.666667,20.0,,0
1,7,1,2,1,True,1,True,13.99,40.0,3.8,13.0,24.0,8,697,0.0,2.0,10.0,0.0,0.0,1.0,0.0,24835.0,0.5,23274.0,1.0,0.0,30.0,10000.0,300.0,29.0,0
1,7,40,19,1,False,4,True,17.68,53.0,3.7,5.0,39.0,5,105,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2821.0,0.78,492.0,0.85,0.0,20.0,2500.0,50.0,21.0,0
1,0,2,12,0,False,0,True,22.0,,2.4,,18.0,4,10,1.0,1.0,13.0,,15.0,1.0,,,,,,,22.0,3000.0,56.0,17.0,0
1,1,24,1,5,True,7,True,31.77,120.0,3.9,5.0,14.0,1,0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.92,3.0,34.0,2000.0,80.0,18.0,1
1,0,0,5,0,False,0,True,29.0,,2.7,,23.0,4,56,5.0,14.0,36.0,,13.0,0.0,,,,,,,52.0,4166.666667,51.0,20.0,0
1,4,3,16,2,True,4,True,15.0,96.0,3.1,8.0,40.0,3,46,10.0,0.0,5.0,20285.0,27.0,0.0,0.0,0.0,0.0,2250.0,0.56,0.0,8.0,3500.0,20.0,26.0,0
1,1,25,0,1,False,2,True,15.99,68.0,3.7,10.0,29.0,5,245,4.0,0.0,2.0,23601.0,15.0,0.0,0.0,6190.0,0.28,15512.0,0.82,1.0,38.0,4589.25,90.0,24.0,0
3,15,13,0,1,False,6,True,12.24,60.0,3.3,13.0,37.0,11,586,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18579.0,0.67,8921.0,0.96,0.0,22.0,8000.0,40.0,18.0,0
1,4,6,10,2,True,6,True,11.0,121.0,4.1,13.0,33.0,9,441,0.0,1.0,6.0,0.0,0.0,0.0,0.0,14244.0,0.31,30656.0,1.0,2.0,40.0,6666.666667,400.0,19.0,1
2,2,35,1,5,True,4,True,24.68,116.0,3.3,7.0,15.0,4,235,1.0,2.0,4.0,412.0,0.0,0.0,0.0,9818.0,0.13,4136.0,0.91,1.0,58.0,3249.0,280.0,41.0,1
1,0,12,16,2,True,2,True,22.0,153.0,3.0,10.0,21.0,5,111,0.0,4.0,11.0,0.0,0.0,2.0,0.0,5003.0,0.98,68.0,0.8,2.0,74.0,5656.416667,310.0,18.0,0
1,4,26,1,2,True,2,True,35.0,31.0,2.6,7.0,19.0,2,54,1.0,1.0,10.0,253.0,2.0,0.0,0.0,1493.0,0.96,14.0,0.47,3.0,6.0,4166.666667,20.0,27.0,1
1,1,8,0,2,True,6,True,7.1,31.0,3.9,10.0,25.0,5,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48050.0,0.66,23850.0,0.91,0.0,16.0,8146.666667,110.0,21.0,0
1,0,1,13,2,False,1,True,6.95,19.0,3.8,19.0,33.0,15,55,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1133.0,0.02,53137.0,0.96,3.0,4.0,10416.66667,20.0,15.0,0
1,4,34,28,2,True,2,True,29.0,191.0,3.2,6.0,29.0,3,63,2.0,8.0,24.0,225.0,9.0,1.0,0.0,1295.0,0.0,0.0,0.7,1.0,42.0,5666.666667,60.0,25.0,0
1,7,35,1,1,False,7,True,31.99,39.0,3.5,5.0,20.0,4,473,1.0,0.0,0.0,9285.0,3.0,0.0,0.0,11344.0,0.9,239.0,0.82,0.0,110.0,1630.416667,80.0,21.0,1
1,0,13,17,0,False,0,True,11.0,,2.4,,24.0,1,80,18.0,1.0,12.0,,0.0,1.0,,,,,,,76.0,1573.666667,32.0,13.0,1
1,5,5,16,2,True,2,True,22.39,83.0,3.4,3.0,10.0,0,0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,22.0,4583.333333,80.0,19.0,0
1,3,34,38,2,True,4,True,27.0,145.0,3.1,9.0,22.0,4,74,0.0,3.0,7.0,0.0,1.0,2.0,0.0,1504.0,1.0,0.0,0.61,0.0,46.0,3750.0,40.0,15.0,0
1,1,2,42,2,True,2,True,35.0,103.0,3.3,9.0,17.0,6,364,0.0,4.0,15.0,0.0,0.0,0.0,0.0,12725.0,0.75,1124.0,0.81,0.0,66.0,4666.666667,60.0,13.0,1
1,0,0,26,0,False,0,True,28.88,,2.9,,23.0,12,771,0.0,1.0,8.0,,0.0,2.0,,,,,,,34.0,8416.666667,60.02,23.0,0
1,0,11,1,2,False,4,True,20.0,3.0,3.3,13.0,30.0,4,72,0.0,4.0,14.0,0.0,0.0,0.0,0.0,1309.0,0.44,1190.0,0.74,1.0,76.0,2916.666667,100.0,15.0,0
1,7,29,17,2,False,4,True,32.39,164.0,3.4,14.0,48.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,6.0,104.0,2416.666667,24.0,25.0,0
1,1,2,17,2,False,4,True,10.3,23.0,3.9,8.0,9.0,5,83,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6201.0,0.14,35475.0,1.0,0.0,16.0,2666.666667,80.0,19.0,0
1,1,43,6,1,True,6,True,31.99,49.0,3.4,13.0,44.0,4,430,0.0,5.0,16.0,0.0,11.0,0.0,0.0,10066.0,0.87,733.0,1.0,2.0,34.0,7166.666667,80.0,13.0,0
1,1,7,61,2,True,2,True,33.0,17.0,3.3,14.0,29.0,10,1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48259.0,0.99,845.0,1.0,0.0,108.0,5000.0,150.0,23.0,0
1,1,6,3,6,False,4,True,34.15,111.0,3.3,3.0,41.0,2,50,0.0,0.0,4.0,0.0,60.0,1.0,0.0,506.0,0.69,219.0,0.68,1.0,18.0,2125.0,60.0,28.0,0
1,0,0,17,0,False,0,True,29.0,,2.7,,27.0,7,152,0.0,4.0,9.0,,12.0,1.0,,,,,,,56.0,3375.0,52.0,16.0,0
1,2,9,1,5,True,7,True,15.99,102.0,3.9,12.0,30.0,4,182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3330.0,0.39,5170.0,1.0,0.0,214.0,1500.0,300.0,52.0,1
1,0,0,31,0,False,0,True,18.0,,3.2,,30.0,13,409,0.0,1.0,9.0,,0.0,0.0,,,,,,,64.0,2500.0,120.02,23.0,0
